id,name,driveUrl,calendarUrl,GradeId,SubjectId,SchoolId
1,[RSL] [III] MAT,1L1WCfR01VpBalLKYbTy_1ttWXJ_my3KB,https://calendar.google.com/calendar/embed?src=c_972ee602a27877c99b62864ea8ae4dc11cc53326a2ab352b7ad5be543cd0c4be%40group.calendar.google.com&ctz=America%2FSantiago,1,1,1
2,[RSL] [III] LEN,1ee8K6KYGh47SzUR3QdYwZTy0iXapuvtw,https://calendar.google.com/calendar/embed?src=c_972ee602a27877c99b62864ea8ae4dc11cc53326a2ab352b7ad5be543cd0c4be%40group.calendar.google.com&ctz=America%2FSantiago,1,2,1
